,Fitness,Iteration,Keep Percent,Population Size,Time,max_iters,use_fast_mimic
0,10.0,0,0.3,50,0.0017090320000008319,150,True
1,10.0,1,0.3,50,0.053514161000000726,150,True
2,13.0,2,0.3,50,0.08432035900000123,150,True
3,16.0,3,0.3,50,0.110860014,150,True
4,16.0,4,0.3,50,0.13750262400000146,150,True
5,16.0,5,0.3,50,0.16288130700000103,150,True
6,16.0,6,0.3,50,0.18717888000000116,150,True
7,16.0,7,0.3,50,0.2217784930000004,150,True
8,16.0,8,0.3,50,0.25467339700000124,150,True
9,16.0,9,0.3,50,0.28336012400000143,150,True
10,16.0,10,0.3,50,0.3174713010000012,150,True
11,16.0,11,0.3,50,0.3590710829999999,150,True
12,16.0,12,0.3,50,0.3928864160000014,150,True
13,16.0,13,0.3,50,0.42333974399999974,150,True
