,Fitness,Iteration,Keep Percent,Population Size,Time,max_iters,use_fast_mimic
0,68.0,0,0.3,150,0.0034033390000001162,150,True
1,71.0,1,0.3,150,0.040989133000000066,150,True
2,75.0,2,0.3,150,0.07656372099999942,150,True
3,80.0,3,0.3,150,0.11159217900000051,150,True
4,86.0,4,0.3,150,0.15549417100000085,150,True
5,90.0,5,0.3,150,0.1974447030000004,150,True
6,93.0,6,0.3,150,0.23535341300000034,150,True
7,93.0,7,0.3,150,0.2716800829999997,150,True
8,95.0,8,0.3,150,0.31331066599999957,150,True
9,98.0,9,0.3,150,0.3540756579999993,150,True
10,100.0,10,0.3,150,0.3924097660000001,150,True
11,100.0,11,0.3,150,0.44304724200000045,150,True
12,100.0,12,0.3,150,0.4764609859999993,150,True
13,100.0,13,0.3,150,0.5046837120000003,150,True
14,100.0,14,0.3,150,0.537472138,150,True
15,100.0,15,0.3,150,0.5704359009999997,150,True
16,100.0,16,0.3,150,0.6358790980000002,150,True
17,100.0,17,0.3,150,0.6932147509999993,150,True
18,100.0,18,0.3,150,0.7432935710000006,150,True
19,100.0,19,0.3,150,0.792309693,150,True
20,100.0,20,0.3,150,0.8417398669999994,150,True
