,Fitness,Iteration,Mutation Rate,Population Size,Time,max_iters
0,166.0,0,0.5,150,0.3772396900003514,150
1,166.0,1,0.5,150,0.7710485240004346,150
2,166.0,2,0.5,150,1.1539728030002152,150
3,166.0,3,0.5,150,1.5431131450004614,150
4,166.0,4,0.5,150,1.9329623690000517,150
5,166.0,5,0.5,150,2.3122793790007563,150
6,166.0,6,0.5,150,2.6948757770005614,150
7,166.0,7,0.5,150,3.0779354450005485,150
8,166.0,8,0.5,150,3.4633607929999926,150
9,166.0,9,0.5,150,3.8540766380001514,150
10,166.0,10,0.5,150,4.245279282000411,150
