,Fitness,Iteration,Temperature,Time,max_iters
0,146.0,0,1,0.00501115099996241,550
1,148.0,1,1,0.013601298999674327,550
2,150.0,2,1,0.018705976999626728,550
3,152.0,3,1,0.024173271000108798,550
4,154.0,4,1,0.03036598899961973,550
5,154.0,5,1,0.035714970999833895,550
6,154.0,6,1,0.038645106999865675,550
7,154.0,7,1,0.04421332599940797,550
8,154.0,8,1,0.04932169499988959,550
9,154.0,9,1,0.05190776099971117,550
10,154.0,10,1,0.057397790999857534,550
11,154.0,11,1,0.05999213399991277,550
12,154.0,12,1,0.06252939299974969,550
13,156.0,13,1,0.06507683000018005,550
14,158.0,14,1,0.0702051999996911,550
15,158.0,15,1,0.07529314499970496,550
16,158.0,16,1,0.08048413899996376,550
17,158.0,17,1,0.08307815099942673,550
18,160.0,18,1,0.0856865169998855,550
19,158.0,19,1,0.09077534500011097,550
20,158.0,20,1,0.09580378699956782,550
21,158.0,21,1,0.09840766799970879,550
22,158.0,22,1,0.10102225499940687,550
23,158.0,23,1,0.10605659100019693,550
24,158.0,24,1,0.10860347299967543,550
25,158.0,25,1,0.11118032800004585,550
26,158.0,26,1,0.11372847299935529,550
27,158.0,27,1,0.11883191800006898,550
28,158.0,28,1,0.12142568899980688,550
29,158.0,29,1,0.1264835199999652,550
30,158.0,30,1,0.131690922999951,550
31,158.0,31,1,0.13688411299972358,550
32,158.0,32,1,0.13946214399948076,550
33,158.0,33,1,0.14453259499987325,550
34,156.0,34,1,0.14709025100000872,550
35,158.0,35,1,0.1521296609998899,550
36,156.0,36,1,0.1572108059999664,550
37,156.0,37,1,0.16226042699963728,550
38,156.0,38,1,0.16736602099990705,550
39,156.0,39,1,0.17236840900022798,550
40,156.0,40,1,0.17696692299978167,550
41,156.0,41,1,0.17923968200011586,550
42,158.0,42,1,0.18152036399987992,550
43,160.0,43,1,0.1864044969997849,550
44,160.0,44,1,0.19103764099963882,550
45,160.0,45,1,0.19565951099957601,550
46,160.0,46,1,0.19797649100019044,550
47,160.0,47,1,0.2027221179996559,550
48,160.0,48,1,0.20736186199974327,550
49,160.0,49,1,0.20965904599961505,550
50,162.0,50,1,0.2142865850000817,550
51,164.0,51,1,0.2263214999993579,550
52,164.0,52,1,0.2310350389998348,550
53,164.0,53,1,0.23565242999939073,550
54,164.0,54,1,0.24019353899984708,550
55,164.0,55,1,0.24250386399944546,550
56,164.0,56,1,0.24720426299973042,550
57,166.0,57,1,0.24964218500008428,550
58,166.0,58,1,0.25423660799970094,550
59,168.0,59,1,0.25880946300003416,550
60,168.0,60,1,0.26349432400002115,550
61,168.0,61,1,0.26584773200011114,550
62,170.0,62,1,0.27036686799965537,550
63,170.0,63,1,0.2749054329997307,550
64,170.0,64,1,0.2794444390001445,550
65,172.0,65,1,0.28185254799973336,550
66,172.0,66,1,0.28672840899980656,550
67,172.0,67,1,0.28911272999994253,550
68,172.0,68,1,0.2915580009994301,550
69,172.0,69,1,0.29401360399970144,550
70,172.0,70,1,0.2964414439993561,550
71,172.0,71,1,0.3013012989995332,550
72,172.0,72,1,0.30379681599970354,550
73,172.0,73,1,0.306235979000121,550
74,172.0,74,1,0.31173200299963355,550
75,172.0,75,1,0.314232316000016,550
76,172.0,76,1,0.3166721339994183,550
77,172.0,77,1,0.31909884400010924,550
78,172.0,78,1,0.3240118749999965,550
79,172.0,79,1,0.3288845600000059,550
80,172.0,80,1,0.3313061339995329,550
81,172.0,81,1,0.3337400769996748,550
82,172.0,82,1,0.3387163799998234,550
83,172.0,83,1,0.3411351029999423,550
84,172.0,84,1,0.34595282600002975,550
85,172.0,85,1,0.34841397399941343,550
86,172.0,86,1,0.35327941400009877,550
87,172.0,87,1,0.35568939599943405,550
88,172.0,88,1,0.3580919440000798,550
89,172.0,89,1,0.360513132000051,550
90,172.0,90,1,0.36531031999948027,550
91,172.0,91,1,0.3677561029999197,550
92,172.0,92,1,0.37015766100012115,550
93,172.0,93,1,0.3725835380000717,550
94,172.0,94,1,0.37734670200006803,550
