,Fitness,Iteration,Restarts,Time,current_restart,max_iters
120,3.0,120,15,0.09808945800000046,11,550
121,3.0,121,15,0.09814063100000148,11,550
122,3.0,122,15,0.09818274600000088,11,550
123,3.0,123,15,0.09821921800000055,11,550
124,3.0,124,15,0.09825594299999985,11,550
125,3.0,125,15,0.09829279800000101,11,550
126,3.0,126,15,0.09832925000000081,11,550
127,6.0,127,15,0.0983683320000015,11,550
128,6.0,128,15,0.09840547900000018,11,550
129,6.0,129,15,0.09844138200000074,11,550
130,6.0,130,15,0.09847698600000143,11,550
131,6.0,131,15,0.10825294500000027,11,550
132,6.0,132,15,0.10871314000000076,11,550
133,6.0,133,15,0.10876337900000088,11,550
134,6.0,134,15,0.10880401300000031,11,550
135,6.0,135,15,0.10884191600000115,11,550
136,6.0,136,15,0.10887850200000138,11,550
137,6.0,137,15,0.10891558500000009,11,550
138,1.0,138,15,0.10895280600000135,12,550
139,1.0,139,15,0.10900135000000155,12,550
140,1.0,140,15,0.10904222200000113,12,550
141,1.0,141,15,0.10908212800000072,12,550
142,1.0,142,15,0.10912154400000063,12,550
143,1.0,143,15,0.10916066700000115,12,550
144,1.0,144,15,0.1091990590000016,12,550
145,1.0,145,15,0.10923699400000153,12,550
146,1.0,146,15,0.10927553000000145,12,550
147,1.0,147,15,0.10931377100000006,12,550
148,0.0,148,15,0.10935258800000014,13,550
149,0.0,149,15,0.10939213199999998,13,550
150,0.0,150,15,0.11934304500000081,13,550
151,0.0,151,15,0.11979904100000027,13,550
152,0.0,152,15,0.11985058800000026,13,550
153,0.0,153,15,0.11989232500000035,13,550
154,1.0,154,15,0.11992886800000058,13,550
155,1.0,155,15,0.11996606599999993,13,550
156,1.0,156,15,0.12000315800000116,13,550
157,1.0,157,15,0.12003835600000023,13,550
158,1.0,158,15,0.12007530300000013,13,550
159,1.0,159,15,0.12011133200000046,13,550
160,1.0,160,15,0.12014614500000143,13,550
161,1.0,161,15,0.13038297200000137,13,550
162,1.0,162,15,0.13083288600000031,13,550
163,1.0,163,15,0.13088319300000073,13,550
164,1.0,164,15,0.13092446400000135,13,550
165,2.0,165,15,0.13096105199999997,14,550
166,2.0,166,15,0.13100054300000075,14,550
167,2.0,167,15,0.1310380680000005,14,550
168,2.0,168,15,0.1310830790000015,14,550
169,2.0,169,15,0.13112062700000138,14,550
170,2.0,170,15,0.13117129500000146,14,550
171,2.0,171,15,0.13121128800000115,14,550
172,2.0,172,15,0.13124812900000116,14,550
173,2.0,173,15,0.13128487900000074,14,550
174,2.0,174,15,0.13133347300000153,14,550
