,Fitness,Iteration,Keep Percent,Population Size,Time,max_iters,use_fast_mimic
0,64.0,0,0.3,50,0.0018224730000007128,150,True
1,68.0,1,0.3,50,0.03882643400000063,150,True
2,72.0,2,0.3,50,0.06951698400000161,150,True
3,73.0,3,0.3,50,0.09619544200000085,150,True
4,75.0,4,0.3,50,0.12094736600000111,150,True
5,78.0,5,0.3,50,0.1442526010000016,150,True
6,78.0,6,0.3,50,0.16827246600000123,150,True
7,78.0,7,0.3,50,0.19440883800000108,150,True
8,78.0,8,0.3,50,0.2220011200000016,150,True
9,79.0,9,0.3,50,0.24880435900000109,150,True
10,79.0,10,0.3,50,0.27320798700000104,150,True
11,79.0,11,0.3,50,0.30140497800000077,150,True
12,79.0,12,0.3,50,0.3323210110000012,150,True
13,79.0,13,0.3,50,0.36426885200000036,150,True
14,79.0,14,0.3,50,0.39196885200000153,150,True
15,79.0,15,0.3,50,0.41984297000000126,150,True
16,79.0,16,0.3,50,0.4481649740000009,150,True
17,79.0,17,0.3,50,0.4746311010000017,150,True
18,79.0,18,0.3,50,0.5025465600000008,150,True
19,79.0,19,0.3,50,0.5291986000000009,150,True
