,Fitness,Iteration,Mutation Rate,Population Size,Time,max_iters
0,60.0,0,0.5,50,0.0015024370000000786,150
1,63.0,1,0.5,50,0.007629048000000083,150
2,65.0,2,0.5,50,0.012623590000000462,150
3,65.0,3,0.5,50,0.017722323000000095,150
4,68.0,4,0.5,50,0.022683816999999884,150
5,69.0,5,0.5,50,0.02775453799999994,150
6,70.0,6,0.5,50,0.03241847099999973,150
7,73.0,7,0.5,50,0.036273361000000115,150
8,73.0,8,0.5,50,0.040088481999999814,150
9,73.0,9,0.5,50,0.0439172929999998,150
10,75.0,10,0.5,50,0.047653129000000405,150
11,78.0,11,0.5,50,0.05914587300000029,150
12,79.0,12,0.5,50,0.06323271399999975,150
13,81.0,13,0.5,50,0.06716848100000039,150
14,81.0,14,0.5,50,0.07104431100000053,150
15,83.0,15,0.5,50,0.07484837199999994,150
16,83.0,16,0.5,50,0.07866534400000003,150
17,86.0,17,0.5,50,0.08244453599999968,150
18,86.0,18,0.5,50,0.08627333300000029,150
19,86.0,19,0.5,50,0.09011205599999972,150
20,87.0,20,0.5,50,0.09392711100000017,150
21,87.0,21,0.5,50,0.10523624899999984,150
22,90.0,22,0.5,50,0.10914489099999969,150
23,90.0,23,0.5,50,0.1128830780000003,150
24,91.0,24,0.5,50,0.1166280249999998,150
25,94.0,25,0.5,50,0.12038234300000017,150
26,94.0,26,0.5,50,0.12416480700000054,150
27,94.0,27,0.5,50,0.12789919999999988,150
28,94.0,28,0.5,50,0.13172052200000017,150
29,94.0,29,0.5,50,0.13545954000000027,150
30,94.0,30,0.5,50,0.1392590570000003,150
31,95.0,31,0.5,50,0.14938334600000047,150
32,95.0,32,0.5,50,0.15330165399999984,150
33,95.0,33,0.5,50,0.15720179000000023,150
34,96.0,34,0.5,50,0.16120190799999978,150
35,97.0,35,0.5,50,0.16502096700000024,150
36,97.0,36,0.5,50,0.1689565470000005,150
37,99.0,37,0.5,50,0.1728388609999998,150
38,99.0,38,0.5,50,0.17694153099999976,150
39,99.0,39,0.5,50,0.1807140700000005,150
40,99.0,40,0.5,50,0.18454988399999994,150
41,99.0,41,0.5,50,0.19503175899999992,150
42,99.0,42,0.5,50,0.19896378099999978,150
43,99.0,43,0.5,50,0.20258685200000048,150
44,99.0,44,0.5,50,0.20753853999999983,150
45,100.0,45,0.5,50,0.21201604200000013,150
46,100.0,46,0.5,50,0.2157012690000002,150
47,100.0,47,0.5,50,0.2193627469999999,150
48,100.0,48,0.5,50,0.22317411700000012,150
49,100.0,49,0.5,50,0.2268616450000005,150
50,100.0,50,0.5,50,0.23063243400000033,150
51,100.0,51,0.5,50,0.24095935999999973,150
52,100.0,52,0.5,50,0.244967795,150
53,100.0,53,0.5,50,0.24864159000000008,150
54,100.0,54,0.5,50,0.2522830359999997,150
55,100.0,55,0.5,50,0.2559912520000003,150
